ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,state
1.9991817523900202e-05,-1.6408915402779642e-05,1.6726759897720966e-05,0.00013305282188198295,4.5685673093027164e-05,0.00021122087018036285,5.03148744786581e-05,-5.125824831893483e-05,5.04421385764273e-05,8.288363732376463e-05,-3.2505245703853495e-07,-8.791578743339686e-06,2.6088818822002235e-05,7.21187977373592e-05,7.982212158204875e-05,7.440291922615535e-05,4.605897433918838e-05,9.807396852340943e-05,4.8596909179933786e-05,1.631793625622607e-05,-0.041026523482057375
2.5422981636731887e-05,-1.0687276563403312e-05,2.4256732091155946e-05,0.00014151172496187643,4.92207365581507e-05,0.00022822235493308069,6.011002185040389e-05,-5.349952546667013e-05,5.979655703092807e-05,9.225576482504598e-05,-3.905053459790807e-06,-3.695353870356586e-06,3.176808237325364e-05,8.011740658795812e-05,8.665710694353731e-05,8.303625231155776e-05,5.3185387832988116e-05,0.00010488078240763265,5.585145775839687e-05,2.0905989026319448e-05,-0.04152109313019853
3.065245563876192e-05,-5.042256193243734e-06,3.175924637600682e-05,0.00014988036707366955,5.2772607777035164e-05,0.0002452112617858947,6.98949734486851e-05,-5.5646984386964075e-05,6.910816226401806e-05,0.00010154705235666734,-7.283272481133367e-06,1.4199441087438085e-06,3.752840443718836e-05,8.795082493172885e-05,9.362249215950681e-05,9.171620200881387e-05,6.027982850159091e-05,0.00011164828409005228,6.308936609709245e-05,2.5428218402223665e-05,-0.04201732301117456
3.564042854273584e-05,4.989277382949349e-07,3.9216056726919635e-05,0.00015813766296230244,5.635127204526206e-05,0.00026215985218440565,7.965763530618995e-05,-5.765855830537355e-05,7.835407223846185e-05,0.0001107194881966941,-1.039068108266266e-05,6.551778240486515e-06,4.3372758767604714e-05,9.558756895110547e-05,0.00010072959238116503,0.00010044470689794377,6.732027497387075e-05,0.00011835245035834008,7.028809333940412e-05,2.9853966623793243e-05,-0.04251520778105
4.034969076094813e-05,5.910824752080812e-06,4.660995334442431e-05,0.00016626272675957136,5.996684957716018e-05,0.000279040204651979,8.938546465854592e-05,-5.949330763195154e-05,8.751225688710128e-05,0.0001197364713051208,-1.3160709023388606e-05,1.1698047697420902e-05,4.9303463561174187e-05,0.00010299844759680708,0.00010798712019489796,0.0001092228774129836,7.428552065599753e-05,0.00012496983772355662,7.742521540604417e-05,3.41530574579492e-05,-0.04301474208729833
4.474610957004356e-05,1.1170047637533058e-05,5.392483000582753e-05,0.00017423496414896528,6.362939774735508e-05,0.00029582414440143117,9.906545266618064e-05,-6.111198095557896e-05,9.656164232275882e-05,0.00012856311676281727,-1.5530112531579733e-05,1.6857038498215607e-05,5.5321962542671864e-05,0.00011015689644345234,0.0001154007137723976,0.00011805073441720264,8.115533634142225e-05,0.00013147776406653724,8.447853296809865e-05,3.829609286265256e-05,-0.04351592058611797
4.879907327901578e-05,1.625552409510873e-05,6.114573649672496e-05,0.0001820341631109134,6.734870456612253e-05,0.000312483157544806,0.00010868409500770905,-6.247753345717622e-05,0.00010548218744367517,0.00013716651520488443,-1.743980466737586e-05,2.2027352391901593e-05,6.14286030529273e-05,0.0001170392798394926,0.00012297250852754364,0.00012692695857238707,8.791059886260525e-05,0.00013785446239185882,9.142616435167848e-05,4.225472913171554e-05,-0.044018737960459575
5.248189732451225e-05,2.114869957002052e-05,6.825891575438235e-05,0.000189640582856556,7.113407577189547e-05,0.00032898829253538535,0.00011822735118853776,-6.355559448648236e-05,0.00011425493185384927,0.00014551594205630046,-1.8835636237841266e-05,2.7207814323917646e-05,6.762241474438797e-05,0.0001236251566557783,0.0001307007612128455,0.0001358486554225543,9.453338343278094e-05,0.0001440792042734295,9.82466226428065e-05,4.600192879392374e-05,-0.044523188938549674
5.577218554361967e-05,2.583368790458623e-05,7.525182509606877e-05,0.00019703504090583316,7.499411839401113e-05,0.0003453100525458171,0.00012768059522779297,-6.431487793155078e-05,0.00012286201504111346,0.00015358301396804183,-1.948715508102822e-05,3.239735990896275e-05,7.390089289108439e-05,0.00012989750546883177,0.00013857953445887768,0.00014481114118231246,0.00010100701881994132,0.00015013239189807183,0.00010491887702465971,4.951218548699084e-05,-0.04502926831266907
5.865214000724721e-05,3.029736781316994e-05,8.211314070502805e-05,0.00020419899855453225,7.893652404946656e-05,0.00036141828346042756,0.00013702856208927037,-6.442034578776506e-05,0.0001312866677738787,0.00016134179148072106,-1.948715508102822e-05,3.759490532774786e-05,8.025979066998347e-05,0.00013584290559648266,0.00014659844867113576,0.00015380775418059563,0.00010731610599787451,0.00015599561894059013,0.00011142239913250685,5.2761720001169686e-05,-0.04553697095791859
6.110881306189308e-05,3.452942459031449e-05,8.883274444628732e-05,0.00021111464516547965,8.296785555457241e-05,0.0003772820629671526,0.00014625529567115117,-6.442034578776506e-05,0.00013951317764173784,0.00016876882854440468,-1.948715508102822e-05,4.2799202989455934e-05,8.669292504665786e-05,0.00014145167101817284,0.00015474250697130327,0.00016282969673777042,0.00011344650235567973,0.00016165170176657618,0.00011773719591583178,5.57286466422449e-05,-0.04604629185068099
6.313429564615248e-05,3.852233785317741e-05,9.540169211786648e-05,0.00021776498178041156,8.709334062723984e-05,0.0003928695968117158,0.00015534410524414223,-6.442034578776506e-05,0.000147526831531975,0.00017584317103627373,-1.840844260792363e-05,4.8008687109929573e-05,9.319200107824673e-05,0.00014671793484544177,0.00016299199752858678,0.00017186591193036363,0.00011938527484799341,0.00016708468359347289,0.00012384383111698,5.839310995589561e-05,-0.04655722608646645
6.472583653863928e-05,4.227131744924484e-05,0.00010181216243293802,0.00022413390446153426,9.131667650762221e-05,0.00040814812857467803,0.00016427753783164754,-6.366421096916247e-05,0.000155313838566685,0.00018254630778713823,-1.6641689207143686e-05,5.3221314003987204e-05,9.974645951141513e-05,0.00015163968264835968,0.00017132247619906454,0.00018090299921335047,0.0001251206265725119,0.00017227981519082804,0.00012972343798168517,6.073739264745571e-05,-0.04706976889681125
6.588588796794936e-05,4.577419088845906e-05,0.00010805738638418106,0.00023020628752875926,9.563984922321701e-05,0.00042308386932048614,0.0001730373740927202,-6.248910710922346e-05,0.00016286123759379762,0.00018886207880689974,-1.4174664048500929e-05,5.843440234385815e-05,0.00010634335248654141,0.00015621873358335843,0.00017970483090689712,0.00018992517222437286,0.00013064180212082763,0.00017722351642378542,0.00013535772618608198,6.274599619314823e-05,-0.04758391566488401
6.662207397732164e-05,4.903124674945032e-05,0.00011413155715687219,0.00023596806646770637,0.00010006297096944447,0.0004376419531364543,0.00018160465476956656,-6.088736087409457e-05,0.00017015679370794383,0.0001947765463530665,-1.1003302928956523e-05,6.364447886996391e-05,0.00011296725195023149,0.0001604606689045151,0.00018810542769257167,0.00019891426129517228,0.00013593897762924207,0.0001819033234103801,0.00014072898618077437,6.440569615055806e-05,-0.048099661939443705
6.662207397732164e-05,5.204503943318875e-05,0.00012002972141116926,0.0002414063197673589,0.0001045841386793275,0.00045178642393826435,0.0001899597437058873,-5.885552347972645e-05,0.00017718888846259573,0.00020027783519567467,-7.131762145840663e-06,6.884713504215718e-05,0.00011960019502006093,0.00016437470807653028,0.00019648633685274603,0.00020784976225936372,0.00014100314174024615,0.00018630782625935746,0.00014582009420551333,6.570557452718277e-05,-0.04861700344678749
