,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20
1,-1.24E-05,1.64E-05,-2.74E-06,-9.75E-06,-6.15E-06,8.60E-05,1.38E-05,-1.25E-05,1.77E-05,4.40E-05,-1.40E-06,1.06E-05,-2.79E-05,-4.37E-05,-3.24E-05,-3.89E-05,1.27E-05,-1.30E-05,1.99E-05,-3.92E-05
2,6.10E-05,7.95E-05,5.97E-05,3.21E-05,4.39E-05,1.52E-04,6.71E-05,1.11E-04,6.38E-05,6.84E-05,8.20E-05,8.08E-05,4.67E-05,8.01E-05,1.77E-05,3.82E-05,5.34E-05,4.61E-05,9.55E-05,8.73E-05
3,1.32E-04,1.41E-04,1.20E-04,7.34E-05,9.24E-05,2.10E-04,1.18E-04,2.30E-04,1.08E-04,8.73E-05,1.63E-04,1.49E-04,1.19E-04,2.00E-04,6.62E-05,1.13E-04,9.26E-05,1.03E-04,1.69E-04,2.11E-04
4,2.00E-04,1.99E-04,1.76E-04,1.14E-04,1.38E-04,2.52E-04,1.65E-04,3.41E-04,1.47E-04,9.54E-05,2.38E-04,2.12E-04,1.87E-04,3.11E-04,1.11E-04,1.83E-04,1.29E-04,1.56E-04,2.38E-04,3.27E-04
5,2.62E-04,2.51E-04,2.25E-04,1.53E-04,1.78E-04,2.71E-04,2.06E-04,4.38E-04,1.80E-04,8.82E-05,3.05E-04,2.68E-04,2.48E-04,4.11E-04,1.52E-04,2.46E-04,1.61E-04,2.03E-04,3.00E-04,4.34E-04
6,3.17E-04,2.96E-04,2.67E-04,1.90E-04,2.12E-04,2.63E-04,2.39E-04,5.19E-04,2.04E-04,6.21E-05,3.61E-04,3.15E-04,3.01E-04,4.96E-04,1.86E-04,3.00E-04,1.88E-04,2.42E-04,3.53E-04,5.27E-04
7,3.64E-04,3.32E-04,2.99E-04,2.24E-04,2.39E-04,2.22E-04,2.62E-04,5.82E-04,2.18E-04,1.47E-05,4.05E-04,3.52E-04,3.44E-04,5.64E-04,2.13E-04,3.43E-04,2.09E-04,2.72E-04,3.95E-04,6.04E-04
8,4.02E-04,3.59E-04,3.21E-04,2.54E-04,2.57E-04,1.48E-04,2.76E-04,6.24E-04,2.22E-04,-5.48E-05,4.35E-04,3.77E-04,3.77E-04,6.13E-04,2.32E-04,3.75E-04,2.22E-04,2.92E-04,4.27E-04,6.64E-04
9,4.31E-04,3.75E-04,3.33E-04,2.81E-04,2.67E-04,4.14E-05,2.78E-04,6.46E-04,2.14E-04,-1.46E-04,4.52E-04,3.91E-04,3.98E-04,6.42E-04,2.43E-04,3.94E-04,2.29E-04,3.03E-04,4.46E-04,7.06E-04
10,4.51E-04,3.79E-04,3.34E-04,3.03E-04,2.69E-04,-9.64E-05,2.70E-04,6.48E-04,1.95E-04,-2.57E-04,4.55E-04,3.92E-04,4.08E-04,6.52E-04,2.44E-04,4.00E-04,2.28E-04,3.05E-04,4.53E-04,7.30E-04
11,4.62E-04,3.73E-04,3.27E-04,3.20E-04,2.62E-04,-2.61E-04,2.52E-04,6.31E-04,1.64E-04,-3.84E-04,4.45E-04,3.83E-04,4.08E-04,6.44E-04,2.38E-04,3.95E-04,2.20E-04,2.98E-04,4.48E-04,7.37E-04
12,4.67E-04,3.56E-04,3.10E-04,3.32E-04,2.48E-04,-4.46E-04,2.25E-04,5.99E-04,1.25E-04,-5.23E-04,4.25E-04,3.64E-04,3.98E-04,6.18E-04,2.24E-04,3.80E-04,2.06E-04,2.85E-04,4.33E-04,7.28E-04
13,4.65E-04,3.29E-04,2.87E-04,3.38E-04,2.27E-04,-6.45E-04,1.90E-04,5.54E-04,7.63E-05,-6.70E-04,3.94E-04,3.37E-04,3.81E-04,5.79E-04,2.02E-04,3.55E-04,1.87E-04,2.66E-04,4.09E-04,7.06E-04
14,4.59E-04,2.94E-04,2.59E-04,3.39E-04,2.00E-04,-8.50E-04,1.49E-04,5.01E-04,2.14E-05,-8.19E-04,3.57E-04,3.04E-04,3.56E-04,5.28E-04,1.76E-04,3.23E-04,1.65E-04,2.45E-04,3.77E-04,6.73E-04
15,4.51E-04,2.53E-04,2.28E-04,3.34E-04,1.70E-04,-1.06E-03,1.05E-04,4.43E-04,-3.80E-05,-9.64E-04,3.15E-04,2.67E-04,3.28E-04,4.68E-04,1.45E-04,2.86E-04,1.39E-04,2.22E-04,3.41E-04,6.32E-04
16,4.42E-04,2.08E-04,1.96E-04,3.23E-04,1.38E-04,-1.25E-03,5.92E-05,3.83E-04,-9.98E-05,-1.10E-03,2.71E-04,2.28E-04,2.96E-04,4.03E-04,1.13E-04,2.46E-04,1.13E-04,2.01E-04,3.03E-04,5.87E-04
17,4.35E-04,1.62E-04,1.65E-04,3.09E-04,1.05E-04,-1.44E-03,1.46E-05,3.26E-04,-1.62E-04,-1.23E-03,2.26E-04,1.90E-04,2.64E-04,3.36E-04,7.91E-05,2.05E-04,8.79E-05,1.83E-04,2.64E-04,5.41E-04
18,4.31E-04,1.18E-04,1.37E-04,2.90E-04,7.39E-05,-1.60E-03,-2.69E-05,2.75E-04,-2.22E-04,-1.33E-03,1.84E-04,1.54E-04,2.32E-04,2.70E-04,4.66E-05,1.66E-04,6.49E-05,1.70E-04,2.27E-04,4.97E-04
19,4.31E-04,7.73E-05,1.14E-04,2.69E-04,4.50E-05,-1.74E-03,-6.32E-05,2.32E-04,-2.77E-04,-1.42E-03,1.46E-04,1.22E-04,2.03E-04,2.07E-04,1.67E-05,1.30E-04,4.54E-05,1.63E-04,1.95E-04,4.57E-04
